Date,Open,High,Low,Close,Adj Close,Volume
2007-01-01,76.260002,76.269997,70.639999,74.099998,55.695042,504732000
2007-02-01,74.580002,76.099998,71.180000,71.680000,53.876118,401419000
2007-03-01,70.900002,76.349998,69.019997,75.449997,56.951244,611224400
2007-04-01,75.349998,80.879997,75.279999,79.379997,59.917675,451394900
2007-05-01,79.500000,84.320000,79.050003,83.169998,62.778469,443527200
2007-06-01,83.559998,86.580002,80.849998,83.879997,63.587715,506912200
2007-07-01,84.500000,93.620003,84.120003,85.129997,64.535332,559643700
2007-08-01,84.989998,87.900002,78.760002,85.730003,64.990173,687544000
2007-09-01,85.309998,93.660004,83.879997,92.559998,70.448372,446258200
2007-10-01,92.449997,95.269997,89.669998,91.989998,70.014526,513452200
2007-11-01,89.830002,90.949997,83.370003,89.160004,67.860580,548075900
2007-12-01,88.970001,95.099998,87.709999,93.690002,71.585640,386223600
2008-01-01,94.150002,94.739998,77.550003,85.699997,65.480721,614692200
2008-02-01,87.699997,90.169998,80.360001,87.010002,66.481689,491055000
2008-03-01,86.830002,88.500000,81.970001,84.580002,64.903908,608218000
2008-04-01,84.800003,94.930000,84.260002,93.070000,71.418854,483071200
2008-05-01,90.099998,96.120003,87.599998,88.760002,68.111481,575856500
2008-06-01,88.089996,90.500000,84.769997,88.129997,67.930183,565696300
2008-07-01,87.870003,89.629997,79.099998,80.430000,61.995083,685444100
2008-08-01,80.550003,81.500000,76.139999,80.010002,61.671341,543017900
2008-09-01,78.040001,82.000000,71.510002,77.660004,60.165699,770778000
2008-10-01,77.190002,81.750000,56.509998,74.120003,57.423126,1384259200
2008-11-01,73.449997,81.029999,67.540001,80.150002,62.094780,1006470600
2008-12-01,77.889999,83.639999,72.680000,79.830002,62.202511,996412900
2009-01-01,80.059998,82.730003,74.010002,76.480003,59.592213,844182900
2009-02-01,76.059998,80.500000,67.900002,67.900002,52.906811,771508100
2009-03-01,67.000000,71.489998,61.860001,68.099998,53.330021,933460300
2009-04-01,67.040001,71.150002,64.500000,66.669998,52.210175,632859600
2009-05-01,67.129997,71.389999,65.599998,69.349998,54.308926,530458500
2009-06-01,70.459999,74.830002,68.080002,69.910004,55.074173,596987800
2009-07-01,70.669998,72.790001,64.459999,70.389999,55.452309,560318900
2009-08-01,70.959999,71.889999,66.089996,69.150002,54.475449,437664700
2009-09-01,68.930000,71.080002,67.830002,68.610001,54.380203,419180700
2009-10-01,68.389999,75.000000,66.110001,71.669998,56.805553,501283200
2009-11-01,72.050003,76.540001,71.040001,75.070000,59.500374,356438100
2009-12-01,76.000000,76.300003,67.639999,68.190002,54.361889,648945000
2010-01-01,68.720001,70.599998,64.019997,64.430000,51.364357,596474300
2010-02-01,65.769997,67.230003,63.560001,65.000000,51.818771,534843200
2010-03-01,65.360001,67.889999,65.080002,66.980003,53.745598,582728200
2010-04-01,67.269997,70.000000,66.849998,67.769997,54.379501,531285400
2010-05-01,68.110001,68.220001,58.459999,60.459999,48.513874,768609600
2010-06-01,60.380001,64.500000,56.919998,57.070000,46.104683,808522600
2010-07-01,56.980000,61.880001,55.939999,59.680000,48.213207,613489500
2010-08-01,60.639999,62.990002,58.049999,59.110001,47.752724,475629700
2010-09-01,60.040001,62.439999,59.720001,61.790001,50.274994,423362300
2010-10-01,62.320000,66.809998,61.799999,66.489998,54.099098,430427600
2010-11-01,66.720001,71.900002,66.629997,69.559998,56.597012,486318500
2010-12-01,70.379997,73.690002,70.379997,73.120003,59.868168,409237200
2011-01-01,73.720001,80.820000,73.639999,80.680000,66.058037,449380100
2011-02-01,81.139999,88.230003,81.040001,85.529999,70.029060,443594000
2011-03-01,86.410004,86.500000,78.800003,84.129997,69.245796,439334000
2011-04-01,84.720001,88.000000,82.379997,87.980003,72.414665,309722400
2011-05-01,88.099998,88.129997,79.419998,83.470001,68.702553,403834500
2011-06-01,83.550003,83.650002,76.720001,81.379997,67.362206,444344200
2011-07-01,81.190002,85.410004,79.760002,79.790001,66.046097,375467600
